user_id,item_id,click,add_cart,purchase,rating
U001,I001,3,1,1,5
U001,I002,5,2,1,4
U001,I003,2,1,0,0
U001,I006,4,0,1,5
U001,I007,3,1,1,4
U001,I012,2,1,1,4
U002,I001,2,0,1,5
U002,I004,6,2,1,5
U002,I005,1,1,0,0
U002,I008,5,1,1,5
U002,I009,3,0,0,0
U002,I013,4,2,1,4
U003,I002,7,3,1,5
U003,I003,4,2,1,5
U003,I004,3,1,1,4
U003,I010,2,1,0,0
U003,I014,5,2,1,5
U003,I015,6,1,1,4
U004,I001,1,0,1,4
U004,I005,3,1,1,5
U004,I006,2,0,0,0
U004,I011,4,2,1,4
U004,I012,3,1,1,5
U004,I013,2,1,1,3
U005,I002,4,2,1,4
U005,I007,3,1,1,5
U005,I008,5,2,1,5
U005,I009,2,1,0,0
U005,I015,4,1,1,5
U006,I003,3,1,1,4
U006,I004,2,0,0,0
U006,I006,6,2,1,5
U006,I007,5,2,1,5
U006,I008,4,1,1,4
U006,I010,3,1,1,3
U007,I001,5,2,1,5
U007,I002,3,1,1,4
U007,I005,4,2,1,5
U007,I011,2,1,0,0
U007,I013,6,2,1,5
U007,I014,4,1,1,4
U008,I003,2,1,0,0
U008,I004,5,2,1,5
U008,I009,3,0,1,3
U008,I010,4,1,1,4
U008,I012,6,2,1,5
U008,I015,3,1,1,4
U009,I001,4,1,1,4
U009,I002,2,0,0,0
U009,I006,5,2,1,5
U009,I007,4,2,1,5
U009,I008,3,1,1,4
U009,I011,2,1,1,3
U010,I003,6,2,1,5
U010,I004,4,1,1,4
U010,I005,3,1,0,0
U010,I013,5,2,1,4
U010,I014,4,2,1,5
U010,I015,2,0,1,3
