item_id,name,category,price
I00001,Router TP-Link AX3000 - SKU8191,Computer Accessories,9540744
I00002,Nike Air Max 270 - SKU3545,Shoes,4261286
I00003,Ao So Mi Nam Aristino - SKU8120,Fashion Men,2102282
I00004,Ao Thun Cotton Basic - SKU4844,Fashion Men,2856499
I00005,Leu Cam Trai 4 Nguoi - SKU5995,Outdoor,8142954
I00006,OPPO Find X8 - SKU5702,Phones & Tablets,18398786
I00007,Den Pin Sieu Sang - SKU4422,Outdoor,890955
I00008,Am Sieu Toc Sunhouse - SKU4177,Kitchen,4227212
I00009,Ao Len Cardigan - SKU5974,Fashion Women,917746
I00010,Nuoc Ep Cam - SKU1035,Beverage,78064
I00011,Sua Hat Oc Cho - SKU5442,Beverage,23268
I00012,Omega 3 Kirkland - SKU9387,Health,4026869
I00013,Tui Xach Zara - SKU6509,Fashion Women,1362843
I00014,Design Patterns - SKU2721,Books,411248
I00015,Socola Den - SKU5529,Food,431672
I00016,Gia Do Dien Thoai O To - SKU4235,Automotive,3909638
I00017,Webcam Logitech C920 - SKU4112,Computer Accessories,3487611
I00018,Ta Pampers - SKU1713,Baby,3257677
I00019,Ao Khoac Bomber - SKU1402,Fashion Men,1711988
I00020,Nuoc Ep Cam - SKU5642,Beverage,234561
I00021,Nha Gia Kim - SKU3391,Books,130622
I00022,Adidas Ultraboost 5 - SKU6986,Shoes,3300309
I00023,Noi Chien Khong Dau Philips - SKU6044,Kitchen,7254083
I00024,Xe Dap Giant Escape - SKU5439,Sports,37036317
I00025,Samsung Galaxy S25 Ultra - SKU4561,Phones & Tablets,16225559
I00026,Xe Day Cho Be - SKU9557,Baby,7644467
I00027,Ao Khoac Bomber - SKU2319,Fashion Men,123867
I00028,Tay Cam PS5 - SKU7159,Gaming,7887206
I00029,Ao So Mi Nam Aristino - SKU3065,Fashion Men,343846
I00030,Tra Xanh Lipton - SKU4306,Beverage,27452
I00031,Kem Chong Nang Anessa - SKU6054,Beauty,825674
I00032,Balo Du Lich NatureHike - SKU9102,Travel,3684909
I00033,Nuoc Hoa Dior Sauvage - SKU3587,Beauty,2831994
I00034,New Balance 530 - SKU8017,Shoes,2227624
I00035,Sua Bot Aptamil - SKU1816,Baby,8674411
I00036,Lac Tay Vang 18K - SKU9114,Jewelry,90926037
I00037,New Balance 530 - SKU6193,Shoes,2436161
I00038,Bom Lop O To Michelin - SKU6385,Automotive,9213055
I00039,May Hut Bui Dyson - SKU9655,Home Appliances,48321766
I00040,Camera Sony A6700 - SKU5943,Electronics,6586716
I00041,Tu Lanh Samsung - SKU9339,Home Appliances,3016795
I00042,Tai Nghe Gaming HyperX - SKU1646,Gaming,6824665
I00043,Ban Lam Viec Go - SKU9525,Furniture,1668041
I00044,Ngu Coc Dinh Duong - SKU4101,Food,275767
I00045,Nha Gia Kim - SKU5335,Books,341877
I00046,Gang Tay Xe May - SKU7928,Motorbike Accessories,884965
I00047,Dam Cong So - SKU5071,Fashion Women,4069556
I00048,Ao Len Cardigan - SKU8644,Fashion Women,4493844
I00049,Sua Hat Oc Cho - SKU2563,Beverage,159279
I00050,Cat Ve Sinh Me-O - SKU8594,Pet Supplies,1479906
I00051,Den Pin Sieu Sang - SKU4688,Outdoor,9469954
I00052,Nuoc Ep Cam - SKU5980,Beverage,286454
I00053,Vot Cau Long Yonex - SKU2246,Sports,17780625
I00054,Balo Du Lich NatureHike - SKU3490,Travel,1541060
I00055,Vali Keo Lock&Lock - SKU8101,Travel,3847326
I00056,May Do Huyet Ap Omron - SKU7173,Health,269383
I00057,Loa JBL Charge 6 - SKU3961,Electronics,46417938
I00058,May Hut Bui Dyson - SKU2232,Home Appliances,29149802
I00059,Omega 3 Kirkland - SKU7749,Health,1142429
I00060,Sua Hat Oc Cho - SKU6820,Beverage,173924
I00061,May Huy Tai Lieu - SKU5332,Office,9949944
I00062,Thuc An Cho Cho Pedigree - SKU4431,Pet Supplies,1246869
I00063,Son MAC Ruby Woo - SKU8702,Beauty,2661623
I00064,iPhone 16 Pro Max - SKU1846,Phones & Tablets,10589302
I00065,Ke Sach 5 Tang - SKU5350,Furniture,10735211
I00066,Tra Xanh Lipton - SKU6727,Beverage,136459
I00067,May Hut Bui Dyson - SKU9006,Home Appliances,17088149
I00068,Nuoc Ep Cam - SKU8872,Beverage,264156
I00069,Webcam Logitech C920 - SKU1910,Computer Accessories,106727
I00070,May Giat LG Inverter - SKU1190,Home Appliances,17964737
I00071,May Do Huyet Ap Omron - SKU8068,Health,2392822
I00072,Ca Phe Arabica - SKU3567,Food,59020
I00073,New Balance 530 - SKU2832,Shoes,2192533
I00074,Ao So Mi Nam Aristino - SKU5859,Fashion Men,2792853
I00075,Atomic Habits - SKU5057,Books,155188
I00076,Sua Bot Aptamil - SKU2604,Baby,4792494
I00077,Xe Day Cho Be - SKU2607,Baby,9474177
I00078,Adidas Ultraboost 5 - SKU3649,Shoes,1689757
